,id,follow,meet,givefuture,info,march,sign,give12m,compromise,tempobama,tempblack,tempwhite,temphisp,temppolice,tempfem,tempmuslim,tempsci,dem_cand,rep_cand,lazyb,lazy_w,lazy_h,lazy_m,violent_b,violent_w,violent_h,violent_m,econ_now,econ12m,pidAggr,ISSUES_1,ISSUES_2,ISSUES_3,ISSUES_4,ISSUES_5,ISSUES_6,ISSUES_7,ISSUES_8,ISSUES_9,ISSUES_10,ISSUES_11,ISSUES_12,ISSUES_13,ISSUES_14,ISSUES_15,ISSUES_16,ISSUES_17,ISSUES_18,ISSUES_19,ISSUES_20,ISSUES_21,discb,disch,discw,discg,discwo,discm,discmu,discc,discselfsex,srvspend,camfin,imlegal,imnumb,eqpay,pleave,crime_spend,death,terrorworry,terror12m,terrorlocal,incgp20,isistroops,mnwge,hlthspend,childcr,get_ahead,ladder,fin_well,warm,warm_cause,warm_do,free_trade,stpwhite,stpblack,frcwhite,frcblack,pkdeficit,pkspend,vaccine,autism,obama_muslim,amer_identity,race_identity,buycott,boycott,skin_tone,skin_disc,birthyr,gender
850,851,3,5,5,5,2,2,2,1,86,84,74,81,91,48,79,66,3.0,2.0,3,2,5,5,3,3,3,3,2,3,4.0,8,8,8,8,3,8,8,8,8,4,8,8,8,8,8,8,8,1,8,2,8,3,4,3,3,4,4,1,1,5,1,5,3,5,3,1,2,1,4,4,5,2,3,2,6,5,5,3,1,1,1,3,5,2,3,2,2,1,3,1,5,2,2,2,2,2,2,4,1990,1
987,988,3,5,4,4,2,2,2,2,6,100,100,100,89,22,41,80,5.0,11.0,3,4,3,4,4,4,4,2,5,3,4.0,8,8,8,8,8,8,4,8,8,8,3,8,2,8,8,8,8,8,8,8,1,4,4,4,3,4,4,3,3,4,3,4,4,6,1,1,4,4,2,3,4,2,2,2,6,4,3,4,5,1,3,3,5,3,4,2,3,1,3,1,3,2,1,1,1,1,2,4,1970,2
306,307,1,4,5,3,2,2,2,2,0,81,49,81,94,0,0,22,5.0,9.0,2,4,4,3,2,4,4,1,4,4,4.0,8,3,8,8,8,8,1,8,8,8,8,2,8,8,8,8,8,8,8,8,4,2,2,2,4,3,2,2,2,4,997,1,1,7,1,7,7,1,1,2,4,1,1,2,7,7,2,7,7,2,2,7,7,3,3,3,3,1,1,7,2,1,1,5,2,1,1,4,1955,2
467,468,1,2,1,2,1,1,1,2,0,50,50,42,63,29,13,51,5.0,2.0,4,4,4,4,5,5,5,5,5,5,4.0,4,8,8,8,8,8,2,8,8,8,8,8,1,8,8,3,8,8,8,8,8,3,3,3,3,3,3,3,3,3,1,7,2,3,4,6,4,2,2,3,4,3,3,2,6,5,3,4,5,2,2,7,6,3,3,2,2,1,1,4,3,1,3,5,1,1,4,5,1946,1
317,318,1,2,4,3,2,1,2,2,1,59,75,80,96,1,41,75,5.0,2.0,3,4,4,4,3,3,3,2,3,3,4.0,8,4,8,8,8,8,8,8,8,8,1,2,3,8,8,8,8,8,8,8,8,4,4,3,3,4,3,3,3,5,1,6,2,4,4,6,5,2,3,2,5,3,2,4,7,7,3,5,5,2,2,7,3,3,3,2,2,1,1,2,6,2,2,3,2,2,3,5,1940,1
453,454,1,2,3,4,2,2,2,2,32,100,100,90,85,100,32,100,3.0,9.0,5,5,5,2,5,5,5,1,4,4,4.0,8,8,8,8,8,3,2,8,8,8,8,8,8,8,8,4,8,8,8,8,1,1,4,4,1,2,5,1,5,3,7,3,1,4,1,1,2,7,9,1,1,1,2,1,1,1,1,7,7,1,3,1,7,3,5,3,5,2,4,5,3,2,1,5,1,1,1,5,1958,2
448,449,1,5,5,5,2,1,1,2,0,15,75,15,15,0,0,25,5.0,4.0,1,4,5,3,3,5,4,1,5,5,4.0,8,8,8,8,8,8,8,8,8,3,2,4,8,8,1,8,8,8,8,8,8,3,5,1,5,5,1,4,1,5,1,4,7,7,4,4,7,4,3,1,5,1,7,2,4,4,1,7,7,2,2,7,7,3,3,3,3,1,3,4,1,1,1,1,2,2,1,5,1952,1
970,971,3,3,3,3,2,2,2,2,51,70,92,72,53,28,53,43,3.0,11.0,3,4,4,3,3,3,4,3,2,3,4.0,8,2,8,8,8,8,8,8,1,8,8,8,4,3,8,8,8,8,8,8,8,3,3,2,3,2,2,1,1,5,4,2,4,4,4,3,3,4,9,3,4,3,4,2,3,4,4,1,3,2,3,3,4,3,3,3,3,2,2,5,3,1,2,3,2,2,7,4,1986,1
870,871,2,4,4,5,2,2,2,1,55,55,95,41,56,6,41,81,5.0,1.0,2,1,4,3,1,4,3,2,2,3,4.0,8,8,8,8,8,8,8,8,2,4,8,8,8,8,8,8,8,3,8,8,1,1,3,4,1,1,4,2,5,4,4,4,5,6,4,3,1,2,2,9,3,3,6,1,4,3,4,6,5,1,3,4,3,3,4,3,4,1,2,7,2,2,2,2,2,2,3,4,1973,1
872,873,4,5,5,4,2,2,2,1,100,61,41,16,55,51,4,97,1.0,11.0,4,4,4,4,2,2,1,1,3,3,4.0,8,4,8,8,8,8,3,8,8,8,1,8,8,8,2,8,8,8,8,8,8,1,2,1,1,3,2,1,2,5,4,5,4,4,1,2,5,1,9,2,5,2,6,4,4,3,2,6,5,1,1,1,4,3,4,4,4,1,1,2,5,2,1,1,2,2,2,4,1985,1
